LinkId,SkuName,Cost,PostFee,Price
832897408610,瑕疵款【S 颜色/有耳无耳随机发 适合1.4-1.6米车长】,3.5,2,7.4
832897408610,蓝双耳+钢丝锁【L 适合1.8-2.0米车长】加厚铝膜+内里植绒,8,2,20.5
832897408610,蓝双耳+钢丝锁【XXL 适合2.2-2.5米车长】加厚铝膜+内里植绒,9,2,24.5
832897408610,蓝双耳【L 适合1.8-2.0米车长】加厚铝膜+内里植绒,8,2,16.5
832897408610,蓝双耳【M 适合1.6-1.8米车长】加厚铝膜+内里植绒,7.5,2,14.5
832897408610,蓝双耳【S 适合1.4-1.6米车长】加厚铝膜+内里植绒,6.5,2,12.9
832897408610,蓝双耳【XL 适合2.0-2.2米车长】加厚铝膜+内里植绒,8.5,2,18.5
832897408610,蓝双耳【XXL 适合2.2-2.5米车长】加厚铝膜+内里植绒,9,2,20.5
832897408610,蓝无耳【M 适合1.6-1.8米车长】加厚铝膜+内里植绒,7.5,2,13.9
832897408610,蓝无耳【S 适合1.4-1.6米车长】加厚铝膜+内里植绒,6.5,2,12.4
832897408610,银双耳+钢丝锁【L 适合1.8-2.0米车长】加厚铝膜+内里植绒,8,2,20.5
832897408610,银双耳+钢丝锁【M 适合1.6-1.8米车长】加厚铝膜+内里植绒,7.5,2,18.5
832897408610,银双耳+钢丝锁【S 适合1.4-1.6米车长】加厚铝膜+内里植绒,6.5,2,16.9
832897408610,银双耳+钢丝锁【XL 适合2.0-2.2米车长】加厚铝膜+内里植绒,8.5,2,22.5
832897408610,"银双耳+钢丝锁【XXL 适合2.2-2.5米车长】加厚铝膜+内里植绒		银双耳+钢丝锁【XXL 适合2.2-2.5米车长】加厚铝膜+内里植绒",9,2,24.5
832897408610,银双耳【L 适合1.8-2.0米车长】加厚铝膜+内里植绒,8,2,16.5
832897408610,银双耳【M 适合1.6-1.8米车长】加厚铝膜+内里植绒,7.5,2,14.5
832897408610,银双耳【S 适合1.4-1.6米车长】加厚铝膜+内里植绒,6.5,2,12.9
832897408610,银双耳【XL 适合2.0-2.2米车长】加厚铝膜+内里植绒,8.5,2,18.5
832897408610,银双耳【XXL 适合2.2-2.5米车长】加厚铝膜+内里植绒,9,2,20.5
832897408610,银无耳+钢丝锁【M 适合1.6-1.8米车长】加厚铝膜+内里植绒,7.5,2,17.9
832897408610,银无耳+钢丝锁【S 适合1.4-1.6米车长】加厚铝膜+内里植绒,6.5,2,16.4
832897408610,银无耳【M 适合1.6-1.8米车长】加厚铝膜+内里植绒,7.5,2,13.9
832897408610,银无耳【S 适合1.4-1.6米车长】加厚铝膜+内里植绒,6.5,2,12.4
835425008983,前座+后座+背靠【加厚皮革款】高弹耐磨防水防晒,3.2,2,10.48
835425008983,前座+后座+背靠【双层3D蜂窝】透气排湿抗晒,2.7,2,9.98
835425008983,前座+后座+背靠【普通皮革款】防水防晒,3.2,2,9.98
835425008983,前座+后座【冬季毛绒款】保暖舒适,7,2,16.8
835425008983,前座+后座【加厚皮革款】高弹耐磨防水防晒,2.6,2,9.48
835425008983,前座+后座【双层3D蜂窝】透气排湿抗晒,2.2,2,8.98
835425008983,前座+后座【普通皮革款】防水防晒,2.6,2,8.98
835425008983,前座【冬季毛绒款】保暖舒适,3.5,2,8.6
835425008983,前座【加厚皮革款】高弹耐磨防水防晒,1.3,2,5.48
835425008983,前座【双层3D蜂窝】透气排湿抗晒,1.1,2,4.98
835425008983,前座【普通皮革款】防水防晒,1.3,2,4.98
835425008983,后座【冬季毛绒款】保暖舒适,3.5,2,9.5
835425008983,后座【加厚皮革款】高弹耐磨防水防晒,1.3,2,5.88
835425008983,后座【双层3D蜂窝】透气排湿抗晒,1.1,2,5.38
835425008983,后座【普通皮革款】防水防晒,1.3,2,5.38
835425008983,背靠【双层3D蜂窝】透气排湿抗晒,0.5,2,3.9
835597084042,瑕疵款【S 颜色/有耳无耳随机发 适合1.4-1.6米车长】,3.5,2,7.4
835597084042,蓝双耳+钢丝锁【L 适合1.8-2.0米车长】加厚铝膜+内里植绒,8,2,20.5
835597084042,蓝双耳+钢丝锁【XXL 适合2.2-2.5米车长】加厚铝膜+内里植绒,9,2,24.5
835597084042,蓝双耳【L 适合1.8-2.0米车长】加厚铝膜+内里植绒,8,2,16.5
835597084042,蓝双耳【S 适合1.4-1.6米车长】加厚铝膜+内里植绒,6.5,2,12.9
835597084042,蓝双耳【XL 适合2.0-2.2米车长】加厚铝膜+内里植绒,8.5,2,18.5
835597084042,蓝双耳【XXL 适合2.2-2.5米车长】加厚铝膜+内里植绒,9,2,20.5
835597084042,蓝无耳+钢丝锁【M 适合1.6-1.8米车长】加厚铝膜+内里植绒,7.5,2,17.9
835597084042,蓝无耳【S 适合1.4-1.6米车长】加厚铝膜+内里植绒,6.5,2,12.4
835597084042,银双耳+钢丝锁【L 适合1.8-2.0米车长】加厚铝膜+内里植绒,8,2,20.5
835597084042,银双耳+钢丝锁【M 适合1.6-1.8米车长】加厚铝膜+内里植绒,7.5,2,18.5
835597084042,银双耳+钢丝锁【S 适合1.4-1.6米车长】加厚铝膜+内里植绒,6.5,2,16.9
835597084042,"银双耳+钢丝锁【XXL 适合2.2-2.5米车长】加厚铝膜+内里植绒		银双耳+钢丝锁【XXL 适合2.2-2.5米车长】加厚铝膜+内里植绒",9,2,24.5
835597084042,银双耳【L 适合1.8-2.0米车长】加厚铝膜+内里植绒,8,2,16.5
835597084042,银双耳【M 适合1.6-1.8米车长】加厚铝膜+内里植绒,7.5,2,14.5
835597084042,银双耳【S 适合1.4-1.6米车长】加厚铝膜+内里植绒,6.5,2,12.9
835597084042,银双耳【XL 适合2.0-2.2米车长】加厚铝膜+内里植绒,8.5,2,18.5
835597084042,银双耳【XXL 适合2.2-2.5米车长】加厚铝膜+内里植绒,9,2,20.5
835597084042,银无耳【M 适合1.6-1.8米车长】加厚铝膜+内里植绒,7.5,2,13.9
835597084042,银无耳【S 适合1.4-1.6米车长】加厚铝膜+内里植绒,6.5,2,12.4
836519881819,瑕疵款【S 颜色/有耳无耳随机发 适合1.4-1.6米车长】,3.5,2,7.4
836519881819,瑕疵款【颜色大小/有耳无耳随机发 适合1.4-1.6米车长】,3.5,2,7.4
836519881819,蓝双耳【L 适合1.8-2.0米车长】加厚铝膜+内里植绒,8,2,16.5
836519881819,蓝双耳【M 适合1.6-1.8米车长】加厚铝膜+内里植绒,7.5,2,14.5
836519881819,蓝双耳【S 适合1.4-1.6米车长】加厚铝膜+内里植绒,6.5,2,12.9
836519881819,蓝双耳【XL 适合2.0-2.2米车长】加厚铝膜+内里植绒,8.5,2,18.5
836519881819,蓝双耳【XXL 适合2.2-2.5米车长】加厚铝膜+内里植绒,9,2,20.5
836519881819,蓝无耳【M 适合1.6-1.8米车长】加厚铝膜+内里植绒,7.5,2,13.9
836519881819,钢丝绳密码锁【适配全系型号 防强风更安心】,1.5,2,7.8
836519881819,银双耳【L 适合1.8-2.0米车长】加厚铝膜+内里植绒,8,2,16.5
836519881819,银双耳【M 适合1.6-1.8米车长】加厚铝膜+内里植绒,7.5,2,14.5
836519881819,银双耳【S 适合1.4-1.6米车长】加厚铝膜+内里植绒,6.5,2,12.9
836519881819,"银双耳【S 适合1.4-1.6米车长】加厚铝膜+内里植绒		银双耳【S 适合1.4-1.6米车长】加厚铝膜+内里植绒",6.5,2,12.9
836519881819,银双耳【XL 适合2.0-2.2米车长】加厚铝膜+内里植绒,8.5,2,18.5
836519881819,银双耳【XXL 适合2.2-2.5米车长】加厚铝膜+内里植绒,9,2,20.5
836519881819,银无耳【M 适合1.6-1.8米车长】加厚铝膜+内里植绒,7.5,2,13.9
836519881819,银无耳【S 适合1.4-1.6米车长】加厚铝膜+内里植绒,6.5,2,12.4
836896586402,前座+后座+背靠【加厚皮革款】高弹耐磨防水防晒,3.2,2,10.48
836896586402,前座+后座+背靠【双层3D蜂窝】透气排湿抗晒,2.7,2,9.98
836896586402,前座+后座+背靠【普通皮革款】防水防晒,3.2,2,9.98
836896586402,前座+后座【冬季毛绒款】保暖舒适,7,2,16.8
836896586402,前座+后座【加厚皮革款】高弹耐磨防水防晒,2.6,2,9.48
836896586402,前座+后座【普通皮革款】防水防晒,2.6,2,8.98
836896586402,前座【冬季毛绒款】保暖舒适,3.5,2,8.6
836896586402,前座【加厚皮革款】高弹耐磨防水防晒,1.3,2,5.48
836896586402,前座【双层3D蜂窝】透气排湿抗晒,1.1,2,4.98
836896586402,前座【普通皮革款】防水防晒,1.3,2,4.98
836896586402,后座【冬季毛绒款】保暖舒适,3.5,2,9.5
836896586402,后座【加厚皮革款】高弹耐磨防水防晒,1.3,2,5.88
836896586402,后座【双层3D蜂窝】透气排湿抗晒,1.1,2,5.38
836896586402,后座【普通皮革款】防水防晒,1.3,2,5.38
836896586402,背靠【双层3D蜂窝】透气排湿抗晒,0.5,2,3.9
838051916239,【加粗标准款长枪】通用接头+10米加厚防爆水管,12.6,3.5,23.9
838051916239,【加粗标准款长枪】通用接头+15米加厚防爆水管,15.3,3.5,28.9
838051916239,【加粗标准款长枪】通用接头+20米加厚防爆水管,18,4,32.9
838051916239,【加粗标准款长枪】通用接头+25米加厚防爆水管,20.7,7.5,41.9
838051916239,【加粗标准款长枪】通用接头+3米加厚防爆水管,8.82,2.2,15.9
838051916239,【加粗标准款长枪】通用接头+5米加厚防爆水管,9.9,2.2,17.9
838051916239,【升级增压款长枪】金属接头+20米加厚防爆水管+泡沫壶,26.8,4,51.9
838051916239,【升级增压款长枪】金属接头+25米加厚防爆水管,24.5,7.5,47.9
838051916239,【升级增压款长枪】金属接头+3米加厚防爆水管,12.62,2.2,22.9
838051916239,标准款长枪一把+通用接头（无水管）,7,2,12.9
838051916239,标准款长枪一把（无接头和水管）,5,2,9.9
839506085657,三件套??【时尚灰】厚实绒毛 皮草触感,20,4,44.9
839506085657,三件套??【沉默黑】厚实绒毛 皮草触感,20,4,44.9
839506085657,前座-单件【时尚灰】厚实绒毛 皮草触感,5,3,12.7
839506085657,前座-单件【沉默黑】厚实绒毛 皮草触感,5,3,12.7
839506085657,前座-单件【温馨米】厚实绒毛 皮草触感,5,3,12.7
839506085657,前座-单件【激情红】厚实绒毛 皮草触感,5,3,12.7
839506085657,前座-单件【豆沙色】厚实绒毛 皮草触感,5,3,12.7
839506085657,前座-单件【魅力咖】厚实绒毛 皮草触感,5,3,12.7
839506085657,前座-单件【魅惑紫】厚实绒毛 皮草触感,5,3,12.7
839506085657,前座??2件【激情红】厚实绒毛 皮草触感,10,4,22.9
839506085657,前座单件【颜色随机】厚实绒毛 皮草触感,2,3,7.9
839506085657,后排??【温馨米】厚实绒毛 皮草触感,10,4,23.7